IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
204.76.203.6,ip,SO,CA,8,OT,1116634,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
139.5.108.151,ip,SO,CA,8,OT,1116632,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
121.43.96.49,ip,SO,CA,8,OT,1116630,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
101.47.158.56,ip,SO,CA,8,OT,1116628,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
86.139.23.230,ip,SO,CA,8,OT,1116626,2026-05-12 09:23:09.578615,2026-05-21 11:13:29
37.27.20.160,ip,SB,MC,8,OT,1116482,2026-05-11 15:28:30.395432,2026-05-21 11:13:29
165.22.125.53,ip,SB,MC,8,OT,1116480,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
45.156.87.253,ip,SB,MC,8,OT,1116478,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
119.91.19.185,ip,SB,MC,8,OT,1116476,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
106.13.57.206,ip,SB,MC,8,OT,1116474,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
8.219.215.238,ip,SB,MC,8,OT,1116472,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
163.5.214.40,ip,SB,MC,8,OT,1116470,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
101.51.88.5,ip,SB,MC,8,OT,1116468,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
47.94.4.180,ip,SB,MC,8,OT,1116466,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
177.37.98.163,ip,SB,MC,8,OT,1116464,2026-05-11 15:28:06.011018,2026-05-21 11:13:29
195.178.110.36,ip,SB,PH,4,OT,1115912,2026-05-11 10:57:24.431782,2026-05-21 11:13:29
91.215.85.103,ip,SB,MI,8,OT,1115374,2026-05-08 13:07:19.036012,2026-05-21 11:13:29
176.65.149.225,ip,SB,MI,8,OT,1115350,2026-05-08 11:19:30.589212,2026-05-21 11:13:29
156.226.174.212,ip,SB,MI,8,OT,1115344,2026-05-08 11:05:59.359014,2026-05-21 11:13:29
45.157.233.103,ip,SB,MI,8,OT,1115340,2026-05-08 11:03:34.654258,2026-05-21 11:13:29
80.66.75.40,ip,SB,MC,8,BC,1114024,2026-05-07 12:14:58.707853,2026-05-21 11:13:29
194.26.135.44,ip,SB,MC,8,BC,1114022,2026-05-07 12:14:58.707853,2026-05-21 11:13:29
80.66.75.199,ip,SB,MC,8,BC,1114020,2026-05-07 12:14:58.707853,2026-05-21 11:13:29
80.66.75.135,ip,SB,MC,8,BC,1114018,2026-05-07 12:14:58.707853,2026-05-21 11:13:29
