IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
sinirlikampanyalar.blogspot.com,domain,IH,BP,4,PH,1124160,2026-06-07 11:01:28.875161,2026-06-07 15:13:43
izlasfqwrs.blogspot.com,domain,IH,BP,4,PH,1124158,2026-06-07 11:01:19.072723,2026-06-07 15:13:43
patrosnuzs.com,domain,IH,BP,4,PH,1124156,2026-06-07 10:59:09.778142,2026-06-07 15:13:43
bvbvbva28282828992.duckdns.org,domain,IH,BP,4,PH,1124154,2026-06-07 04:46:23.900245,2026-06-07 08:39:16
knorse2xz1.duckdns.org,domain,IH,BP,4,PH,1124152,2026-06-07 04:45:56.176077,2026-06-07 08:39:16
izlcnn.duckdns.org,domain,IH,BP,4,PH,1124150,2026-06-07 03:46:08.306161,2026-06-07 08:39:16
istbelgim.xyz,domain,IH,BP,4,PH,1124148,2026-06-07 03:45:45.936241,2026-06-07 08:39:16
sahibindenmuhasebe.xyz,domain,SB,BP,4,PH,1124146,2026-06-07 00:54:00.938776,2026-06-07 08:39:16
pocmsmdi.net,domain,IH,BP,4,PH,1124144,2026-06-07 00:47:58.096978,2026-06-07 08:39:16
karacastoretr.shop,domain,IH,BP,4,PH,1124142,2026-06-07 00:47:30.799713,2026-06-07 08:39:16
selsandannda.com,domain,IH,BP,4,PH,1124140,2026-06-06 20:07:13.59372,2026-06-07 08:39:16
parzoama.duckdns.org,domain,IH,BP,4,PH,1124138,2026-06-06 19:21:43.804757,2026-06-06 19:59:43
haziranozelflrsattingeldi.com,domain,IH,BP,4,PH,1124136,2026-06-06 18:56:05.977369,2026-06-06 19:59:43
coin-secimi.com,domain,IH,BP,4,PH,1124134,2026-06-06 18:55:11.001625,2026-06-06 19:59:43
aktuelsepetim.com,domain,SB,BP,4,PH,1124132,2026-06-06 18:54:00.438553,2026-06-06 19:59:43
a101harcaharcabitmez.duckdns.org,domain,IH,BP,4,PH,1124130,2026-06-06 18:35:33.80945,2026-06-06 19:59:43
noya.selsandannda.com,domain,IH,BP,4,PH,1124128,2026-06-06 18:34:47.014549,2026-06-06 19:59:43
